pdf_page	printed_page	status
541	380	duplicate_of_pdf441
542	381	duplicate_of_pdf442
543	382	duplicate_of_pdf443
544	N/A	no_number
545	384	duplicate_of_pdf445
546	385	duplicate_of_pdf446
547	386	duplicate_of_pdf447
548	N/A	no_number
549	388	duplicate_of_pdf449
550	N/A	no_number
551	390	duplicate_of_pdf451
552	391	ok
553	392	duplicate_of_pdf34
554	39	duplicate_of_pdf42
555	394	duplicate_of_pdf455
556	395	duplicate_of_pdf456
557	396	duplicate_of_pdf457
558	N/A	no_number
559	398	ok
560	N/A	no_number
561	N/A	no_number
562	401	duplicate_of_pdf462
563	402	duplicate_of_pdf463
564	403	duplicate_of_pdf464
565	404	duplicate_of_pdf465
566	N/A	no_number
567	406	duplicate_of_pdf467
568	411	duplicate_of_pdf472
569	412	duplicate_of_pdf473
570	413	duplicate_of_pdf474
571	414	duplicate_of_pdf475
572	415	duplicate_of_pdf476
573	416	duplicate_of_pdf477
574	N/A	no_number
575	N/A	no_number
576	419	duplicate_of_pdf480
577	420	duplicate_of_pdf481
578	421	duplicate_of_pdf482
579	422	duplicate_of_pdf483
580	N/A	no_number
581	408	duplicate_of_pdf469
582	409	duplicate_of_pdf470
583	1	duplicate_of_pdf58
584	N/A	no_number
585	424	duplicate_of_pdf485
586	N/A	no_number
587	N/A	no_number
588	N/A	no_number
589	428	duplicate_of_pdf489
590	429	duplicate_of_pdf490
591	430	duplicate_of_pdf491
592	431	duplicate_of_pdf492
593	432	duplicate_of_pdf493
594	433	duplicate_of_pdf494
595	434	duplicate_of_pdf495
596	435	duplicate_of_pdf496
597	436	duplicate_of_pdf497
598	N/A	no_number
599	438	ok
600	439	ok
601	N/A	no_number
602	1	duplicate_of_pdf58
603	442	ok
604	443	ok
605	N/A	no_number
606	445	ok
607	N/A	no_number
608	N/A	no_number
609	8	duplicate_of_pdf11
610	N/A	no_number
611	450	ok
612	N/A	no_number
613	452	ok
614	453	ok
615	N/A	no_number
616	455	ok
617	N/A	no_number
618	N/A	no_number
619	458	ok
620	N/A	no_number
621	460	ok
622	461	ok
623	462	ok
624	463	ok
625	464	ok
626	465	ok
627	466	ok
628	N/A	no_number
629	468	ok
630	469	ok
631	N/A	no_number
632	N/A	no_number
633	N/A	no_number
634	N/A	no_number
635	N/A	no_number
636	N/A	no_number
637	N/A	no_number
638	N/A	no_number
639	N/A	no_number
640	N/A	no_number
641	480	ok
642	481	ok
643	482	ok
644	483	duplicate_of_pdf40
645	484	ok
646	485	ok
647	486	ok
648	N/A	no_number
649	488	ok
650	489	ok
651	490	ok
652	491	ok
653	492	ok
654	N/A	no_number
655	494	ok
656	495	ok
657	496	ok
658	N/A	no_number
659	498	ok
660	499	ok
661	500	ok
662	N/A	no_number
663	502	ok
664	503	ok
665	504	ok
666	505	ok
667	506	ok
668	N/A	no_number
669	508	ok
670	N/A	no_number
671	510	ok
672	N/A	no_number
673	512	ok
674	513	ok
675	514	ok
676	515	ok
677	516	ok
678	N/A	no_number
679	518	ok
680	519	ok
681	520	ok
682	521	ok
683	522	ok
684	523	ok
685	524	ok
686	525	ok
687	526	ok
688	N/A	no_number
689	528	ok
690	529	ok
691	N/A	no_number
692	531	ok
693	532	ok
694	533	ok
695	534	ok
696	535	ok
697	536	ok
698	N/A	no_number
